"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
33,"Illinois","Private",6522,4282557.59916666,692239.793333334,730678.892500001,0.161641672253609,0.170617416501045,"IL",1992
33,"Illinois","Private",6253,4245933.41833334,708218.866666666,750072.067499999,0.166799336671829,0.176656574010849,"IL",1993
33,"Illinois","Private",6267,4352652.05361665,671930.214741666,721868.522483332,0.154372602701187,0.165845677256584,"IL",1994
33,"Illinois","Private",6394,4437762.37830834,684493.711058334,718068.125241667,0.154242977499962,0.161808595061302,"IL",1995
33,"Illinois","Private",5834,4526159.91428334,695417.530975002,744003.359508335,0.153644055128098,0.164378494024277,"IL",1996
33,"Illinois","Private",5827,4501705.57049166,656552.247091667,699531.736225,0.145845219492912,0.155392602086067,"IL",1997
33,"Illinois","Private",5929,4621139.13121666,671244.859,705476.249825001,0.145255282521248,0.152662843465805,"IL",1998
33,"Illinois","Private",6091,4774372.31031667,664140.528841668,704365.450516668,0.139105305075645,0.147530481219292,"IL",1999
33,"Illinois","Private",6218,4875891.7225,688022.742333333,724496.110241666,0.141107052564621,0.14858740568161,"IL",2000
33,"Illinois","Private",6041,4744047.81435,650109.938725,689515.644025001,0.137036964297295,0.145343318581581,"IL",2001
33,"Illinois","Private",5740,4589656.84706669,694741.594825,721739.429908333,0.151371136307716,0.157253459095955,"IL",2002
33,"Illinois","Private",5531,4670934.31209168,604544.015425,624455.106916667,0.129426792263985,0.133689552545547,"IL",2003
33,"Illinois","Private",5452,4708436.84429168,567839.443666667,610116.361016667,0.120600417256355,0.12957938015461,"IL",2004
33,"Illinois","Private",4967,4709005.50064999,556341.452241667,574526.117908333,0.118144147098064,0.122005827724934,"IL",2005
33,"Illinois","Private",4749,4905326.48506665,545930.328925,570735.490366667,0.111293375492096,0.116350151598454,"IL",2006
33,"Illinois","Private",4773,4991212.13043333,483812.455316666,509412.775724999,0.0969328582286835,0.102061934769154,"IL",2007
33,"Illinois","Private",4652,4855954.66045,533347.887441666,567568.481608333,0.109833784401417,0.116880923509598,"IL",2008
33,"Illinois","Private",4475,4602012.47878334,503865.480241667,538582.209783333,0.109488070011139,0.117031887173653,"IL",2009
33,"Illinois","Private",4506,4631487.539125,441048.61915,469196.7582,0.0952282845973969,0.101305842399597,"IL",2010
33,"Illinois","Private",4378,4680549.78061665,496535.95275,534253.918616667,0.10608496516943,0.114143408834934,"IL",2011
33,"Illinois","Private",4581,4776039.66623334,444027.6384,469130.716466667,0.0929698422551155,0.0982258841395378,"IL",2012
33,"Illinois","Private",4445,4668569.00890834,466130.624108333,486070.882191667,0.0998444333672523,0.104115605354309,"IL",2013
33,"Illinois","Private",4562,4774946.24110001,434908.498666667,461478.333,0.0910813361406326,0.0966457650065422,"IL",2014
33,"Illinois","Private",4377,4845920.88335835,463733.800383333,489198.299608333,0.0956957042217255,0.10095053166151,"IL",2015
33,"Illinois","Private",4421,4918290.26359167,479232.60005,503292.859983333,0.0974388644099236,0.102330856025219,"IL",2016
33,"Illinois","Private",4175,4818494.59098334,469997.260083333,502279.065366667,0.0975402668118477,0.104239828884602,"IL",2017
33,"Illinois","Private",3993,4917600.79448333,425888.401908333,455602.464816666,0.0866049155592918,0.0926473066210747,"IL",2018
33,"Illinois","Private",3745,4932806.58996667,437785.6877,484545.172366667,0.0887498185038567,0.0982291027903557,"IL",2019
33,"Illinois","Private",3275,4539271.90169166,385802.983016667,414739.450233333,0.0849922597408295,0.0913669541478157,"IL",2020
33,"Illinois","Private",3254,4677362.78856668,401667.393258333,441494.117933333,0.0858747586607933,0.0943895354866982,"IL",2021
33,"Illinois","Private",3138,4874738.52570834,371442.67635,407753.89275,0.0761974528431892,0.0836463123559952,"IL",2022
34,"Michigan","Private",4692,2773152.37416666,702208.396666667,758260.979166667,0.253216654062271,0.273429244756699,"MI",1983
34,"Michigan","Private",5115,2939755.51333333,738109.369999999,795309.732499999,0.251078486442566,0.270536005496979,"MI",1984
34,"Michigan","Private",5862,3008267.42416666,706621.726666667,758934.775,0.234893247485161,0.252283006906509,"MI",1985
34,"Michigan","Private",6122,3041042.59666665,718560.945833333,767220.480833333,0.236287698149681,0.252288639545441,"MI",1986
34,"Michigan","Private",6434,3206450.86166666,690744.744999999,739295.521666666,0.215423464775085,0.230565056204796,"MI",1987
34,"Michigan","Private",6378,3225535.44166665,697901.288333333,742740.747499999,0.216367572546005,0.230268970131874,"MI",1988
