"player_name","player_id","season","season_type","team","poss","mp","raptor_total","raptor_offense","raptor_defense","war_total","war_reg_season","war_playoffs","pace_impact"
"Chris Andersen","anderch01",2016,"RS","MEM",714,366,-0.676411448,-0.59185946,-0.084551988,0.385006604,0.385006604,0,-0.555464488
"Chris Andersen","anderch01",2017,"RS","CLE",232,114,-1.306019282,-2.218286853,0.912267571,0.084746752,0.084746752,0,0.888559405
"James Anderson","anderja01",2014,"RS","PHI",4870,2309,-3.36326105,-1.968788068,-1.394472982,-0.728275377,-0.728275377,0,0.772957169
"James Anderson","anderja01",2016,"RS","SAC",1548,721,-2.748481104,-3.598586121,0.850105017,0.000560113,0.000560113,0,0.241374125
"Justin Anderson","anderju01",2016,"RS","DAL",1335,647,-2.500317446,-2.075995137,-0.424322309,0.082597356,0.082597356,0,0.210183883
"Justin Anderson","anderju01",2017,"RS","DAL",1411,710,-2.23497324,-1.653233795,-0.581739445,0.186366129,0.186366129,0,-0.104205351
"Justin Anderson","anderju01",2017,"RS","PHI",1080,518,-1.747508999,-0.612044664,-1.135464335,0.264930717,0.264930717,0,-0.004151589
"Justin Anderson","anderju01",2018,"RS","PHI",1100,519,-1.30753332,-0.880018585,-0.427514735,0.380839887,0.380839887,0,-0.289922109
"Justin Anderson","anderju01",2019,"RS","ATL",1054,463,-2.497944315,-2.607197469,0.109253155,0.060024256,0.060024256,0,0.82673643
"Justin Anderson","anderju01",2020,"RS","BRK",235,107,-1.33428238047961,-2.60338433670096,1.26910195622135,0.077495594614924,0.077495594614924,0,0.276890624792331
"Justin Anderson","anderju01",2022,"RS","IND",556,269,-6.11153522325556,-0.939150050579835,-5.17238517267573,-0.457494256861777,-0.457494256861777,0,-0.83574786829246
"Kyle Anderson","anderky01",2015,"RS","SAS",714,358,-6.476062273,-3.784997506,-2.691064767,-0.673229133,-0.673229133,0,-1.034524426
"Kyle Anderson","anderky01",2016,"PO","SAS",257,129,-5.105445665,-5.721436098,0.615990433,-0.158299267,0,-0.158299267,-0.944499415
"Kyle Anderson","anderky01",2016,"RS","SAS",2478,1245,-1.165958445,-1.471877554,0.305919108,1.001149902,1.001149902,0,-0.488625071
"Kyle Anderson","anderky01",2017,"PO","SAS",409,195,5.605365865,3.599996395,2.005369471,0.860798752,0,0.860798752,0.390151617
"Kyle Anderson","anderky01",2017,"RS","SAS",2077,1020,1.099866733,-1.537964725,2.637831458,1.9943495,1.9943495,0,-0.44732585
"Kyle Anderson","anderky01",2018,"RS","SAS",3987,1978,2.799829081,-0.336600665,3.136429746,5.591488347,5.591488347,0,-0.164072665
"Kyle Anderson","anderky01",2019,"RS","MEM",2583,1281,0.183796917,-2.037901415,2.221698331,1.904689771,1.904689771,0,-0.677183453
"Kyle Anderson","anderky01",2020,"RS","MEM",2903,1330,-0.231810030830764,-1.98518585248231,1.75337582165155,1.7104254007473,1.7104254007473,0,0.09962720911133
