"player_ID","Player","year_ID","Age","Tm","tm_gms","Tm_Net_Rtg","Pos","G","MP","MP_pct","PER","TS_pct","ThrPAr","FTr","ORB_pct","TRB_pct","AST_pct","STL_pct","BLK_pct","TOV_pct","USG_pct","OWS","DWS","WS","WS40","Composite_Rating","Wins_Generated"
"rodgesu01w","Sugar Rodgers",2019,29,"LVA",34,4.1,"G",33,382,"27.9%",9.5,0.499,0.757,0.045,1.2,6.8,16,1.7,2.6,19.3,15.8,-0.1,0.6,0.5,0.053,-1.6,0.65
"colsosy01w","Sydney Colson",2019,29,"LVA",34,4.1,"G",33,379,"27.7%",13.5,0.558,0.238,0.393,0.6,3.3,24.1,4,0.9,22.1,14.3,0.4,0.8,1.2,0.126,1,1.13
"swordca01w","Carolyn Swords",2019,29,"LVA",34,4.1,"C",29,257,"18.8%",9.5,0.476,0,0.178,8.3,13.4,6.3,1.3,1,17.8,16,-0.1,0.4,0.4,0.055,-1.5,0.45
"parkji01w","JiSu Park",2019,20,"LVA",34,4.1,"C",25,163,"11.9%",1.4,0.244,0.027,0.243,6.9,9,8.8,1.5,2,14.6,12.6,-0.5,0.2,-0.2,-0.052,-5.7,-0.05
"collina01w","Napheesa Collier",2019,22,"MIN",34,3.1,"F",34,1131,"83.2%",18.5,0.576,0.243,0.296,6.6,12.1,12.6,3,2.5,14.4,17.9,2.8,2.4,5.2,0.185,3,4.52
"simsod01w","Odyssey Sims",2019,26,"MIN",34,3.1,"G",34,1083,"79.6%",15,0.488,0.204,0.246,2.7,6.5,29.3,2.2,0.3,18.2,25.5,0.7,1.4,2.1,0.078,-0.4,2.52
"fowlesy01w","Sylvia Fowles",2019,33,"MIN",34,3.1,"C",34,1003,"73.8%",22.2,0.613,0,0.296,11.4,18.5,9.1,1.6,4.1,15.2,20,3.1,2.2,5.3,0.211,4.4,4.66
"robinda01w","Danielle Robinson",2019,30,"MIN",34,3.1,"G",34,919,"67.6%",14.3,0.497,0.13,0.209,3,7.9,22.4,2.4,0.7,16.9,20.3,0.8,1.4,2.3,0.098,0,2.32
"dantada01w","Damiris Dantas",2019,26,"MIN",34,3.1,"F",26,667,"49.0%",14.8,0.55,0.519,0.126,5.2,10.7,20.2,1.5,2,17.1,17.7,1.2,1,2.2,0.133,1,2.01
"brownle02w","Lexie Brown",2019,24,"MIN",34,3.1,"G",33,605,"44.5%",13.4,0.554,0.646,0.182,1.4,4.6,12.6,2.6,0.1,15.4,19.8,0.8,0.8,1.6,0.105,0.1,1.53
